Rank,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot CasesPer1MPop,DeathsPer1MPop,TotalTests,TestsPer1MPop ,Population
123,Uganda,171729,,3632,,100431,,67666,3,3546,75,3012408,62198,"48,432,863"
124,Jamaica,155860,,3596,,103032,,49232,,52213,1205,1183986,396633,"2,985,094"
125,Cambodia,138940,1,3056,,135881,,3,,8093,178,3091420,180062,"17,168,639"
126,Rwanda,133194,,1468,,131647,,79,,9793,108,6021981,442778,"13,600,464"
127,Cameroon,125090,,1974,,122807,,309,13,4482,71,1751774,62762,"27,911,548"
128,Malta,119434,,852,,117948,,634,4,268976,1919,2145600,4832073,"444,033"
129,Barbados,109503,,620,,108647,,236,,380188,2153,801451,2782594,"288,023"
130,Angola,105384,,1934,,103419,,31,,3009,55,1499795,42818,"35,027,343"
131,Channel Islands,101717,,228,,101321,,168,,576421,1292,1252808,7099551,"176,463"
132,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,"314,169"
133,DRC,97697,,1468,,84489,,11740,,1026,15,846704,8890,"95,240,792"
134,Senegal,89014,,1971,,87024,,19,,5042,112,1146543,64946,"17,653,671"
135,Malawi,88835,,2686,,85651,,498,67,4402,133,624784,30959,"20,180,839"
136,Ivory Coast,88338,,835,,87497,,6,,3184,30,1690934,60951,"27,742,298"
137,Suriname,82588,,1408,,N/A,N/A,N/A,,138378,2359,242207,405822,"596,831"
138,New Caledonia,79922,,314,,79605,,3,9,274726,1079,98964,340182,"290,915"
139,French Polynesia,78617,,649,,N/A,N/A,N/A,7,276661,2284,,,"284,164"
140,Eswatini,74882,,1427,,73116,,339,,63201,1204,1048704,885119,"1,184,817"
141,Guyana,73385,,1299,,72013,,73,,92419,1636,733218,923396,"794,045"
142,Belize,70782,,688,,70085,,9,6,171722,1669,576016,1397453,"412,190"
143,Fiji,69117,,885,,67226,,1006,,75997,973,672883,739866,"909,466"
144,Madagascar,68289,,1425,,66862,,2,,2340,49,531329,18210,"29,178,077"
145,Cabo Verde,64202,,414,,63717,,71,23,113096,729,401622,707482,"567,678"
146,Sudan,63993,,5046,,58876,,71,,1391,110,562941,12240,"45,992,020"
147,Mauritania,63715,,997,,62471,,247,,12998,203,1009957,206030,"4,901,981"
148,Bhutan,62691,,21,,61564,,1106,,79563,27,2303734,2923739,"787,941"
149,Syria,57706,,3165,,54541,,0,,2980,163,146269,7553,"19,364,809"
150,Burundi,54234,,38,,53569,,627,,4296,3,345742,27386,"12,624,840"
151,Seychelles,50937,,172,,50750,,15,,512311,1730,,,"99,426"
152,Gabon,48992,,307,,48674,,11,,21013,132,1621909,695641,"2,331,533"
153,Andorra,48015,,165,,47563,,287,14,619844,2130,249838,3225256,"77,463"
154,Papua New Guinea,46864,,670,,43982,,2212,7,5043,72,249149,26813,"9,292,169"
155,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,"165,529"
156,Aruba,44224,,292,,42438,,1494,2,410969,2714,177885,1653068,"107,609"
157,Tanzania,43078,,846,,N/A,N/A,N/A,7,681,13,,,"63,298,550"
158,Mauritius,42792,,1051,,41061,,680,,33570,824,358675,281374,"1,274,727"
